Year,Births Per 1000 people
2024,12.009
2023,12.023
2022,12.012
2021,12.001
2020,11.99
2019,11.979
2018,11.968
2017,12.083
2016,12.198
2015,12.314
2014,12.429
2013,12.544
2012,12.798
2011,13.051
2010,13.305
2009,13.558
2008,13.812
2007,13.856
2006,13.9
2005,13.945
2004,13.989
2003,14.033
2002,14.083
2001,14.133
2000,14.182
1999,14.232
1998,14.282
1997,14.516
1996,14.75
1995,14.983
1994,15.217
1993,15.451
1992,15.492
1991,15.532
1990,15.573
1989,15.613
1988,15.654
1987,15.59
1986,15.525
1985,15.461
1984,15.396
1983,15.332
1982,15.217
1981,15.102
1980,14.986
1979,14.871
1978,14.756
1977,14.931
1976,15.106
1975,15.281
1974,15.456
1973,15.631
1972,16.031
1971,16.431
1970,16.832
1969,17.232
1968,17.632
1967,18.308
1966,18.984
1965,19.66
1964,20.336
1963,21.012
1962,21.573
1961,22.134
1960,22.696
1959,23.257
1958,23.818
1957,23.874
1956,23.93
1955,23.987
1954,24.043
1953,24.099
1952,24.155
1951,24.211
1950,24.268
